"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,1.0,BB McCullum,SB Joshi,DJ Hussey,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,2.0,DJ Hussey,SB Joshi,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,3.0,DJ Hussey,SB Joshi,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,4.0,BB McCullum,SB Joshi,DJ Hussey,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,5.0,DJ Hussey,SB Joshi,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,13.0,6.0,BB McCullum,SB Joshi,DJ Hussey,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,1.0,DJ Hussey,CL White,BB McCullum,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,2.0,DJ Hussey,CL White,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,3.0,BB McCullum,CL White,DJ Hussey,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,4.0,BB McCullum,CL White,DJ Hussey,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,5.0,BB McCullum,CL White,DJ Hussey,0.0,2.0,2.0,wides,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,6.0,DJ Hussey,CL White,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
